"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.330733764E2,5.311099754E1,8.883018155E0,2.422921519E0,4.643615266E0,2.970169266E2,4.969636427E0,4.969636427E0
2.340733624E2,5.311101935E1,8.882941748E0,2.453426480E0,4.694636733E0,2.948594304E2,4.979860600E0,4.979860600E0
2.350733461E2,5.311104425E1,8.882863319E0,1.945379464E0,4.782101495E0,2.948909625E2,4.981450943E0,4.981450943E0
2.360733306E2,5.311108291E1,8.882761813E0,2.010678368E0,5.671525662E0,2.984920581E2,4.972769205E0,4.972769205E0
2.370733172E2,5.311110491E1,8.882688743E0,2.002229238E0,5.277124278E0,2.973325010E2,4.969712600E0,4.969712600E0
2.380733027E2,5.311112210E1,8.882619657E0,3.014461174E0,4.866351998E0,2.973607590E2,4.988682917E0,4.988682917E0
2.390732878E2,5.311113525E1,8.882563850E0,2.107004859E0,4.234464948E0,2.956024894E2,4.987797612E0,4.987797612E0
2.400732732E2,5.311116379E1,8.882500323E0,3.750298674E0,4.358302391E0,3.019284933E2,5.001076768E0,5.001076768E0
2.410732572E2,5.311117856E1,8.882432788E0,2.721636614E0,4.167196766E0,2.980706635E2,4.989268671E0,4.989268671E0
2.420732433E2,5.311120524E1,8.882342875E0,3.647245930E0,4.964404415E0,2.977612842E2,4.981880012E0,4.981880012E0
2.430732296E2,5.311123368E1,8.882263019E0,4.052109917E0,5.229744358E0,2.997777083E2,4.976972433E0,4.976972433E0
2.440732138E2,5.311126250E1,8.882202042E0,4.174328122E0,4.878863760E0,3.036869533E2,4.978733859E0,4.978733859E0
2.450731986E2,5.311127320E1,8.882162985E0,2.162757998E0,3.557676430E0,3.040429745E2,4.996475364E0,4.996475364E0
2.460731864E2,5.311128200E1,8.882104913E0,1.834822716E-1,3.189962824E0,2.956224087E2,5.007749936E0,5.007749936E0
2.470731705E2,5.311131097E1,8.882028580E0,1.025852106E0,3.840432755E0,2.969893905E2,5.007155023E0,5.007155023E0
2.480731471E2,5.311133469E1,8.881962550E0,4.930506395E-1,3.948649957E0,2.956635346E2,4.996038223E0,4.996038223E0
2.490731410E2,5.311134916E1,8.881908710E0,-1.552107772E-1,3.936004947E0,2.943142236E2,5.019300125E0,5.019300125E0
2.500731256E2,5.311139389E1,8.881801904E0,-2.376514133E-1,5.291901288E0,3.020606902E2,5.028745545E0,5.028745545E0
2.510731113E2,5.311142463E1,8.881748109E0,5.579953548E-2,4.809158940E0,3.084787713E2,5.023491189E0,5.023491189E0
2.520730999E2,5.311143902E1,8.881702486E0,4.452778976E-1,3.799444914E0,3.077433460E2,5.033811073E0,5.033811073E0
2.530730822E2,5.311147126E1,8.881636238E0,3.284918813E0,4.149461365E0,3.096033803E2,5.027044628E0,5.027044628E0
2.540730696E2,5.311150532E1,8.881559795E0,4.100298825E0,4.910377840E0,3.099912183E2,5.038565295E0,5.038565295E0
2.550730529E2,5.311152968E1,8.881484377E0,4.147020335E0,5.038816282E0,3.076490582E2,5.044426744E0,5.044426744E0
2.560730387E2,5.311155765E1,8.881420693E0,4.147458134E0,4.930229774E0,3.109818103E2,5.050319633E0,5.050319633E0
2.570730233E2,5.311157928E1,8.881364933E0,2.400392143E0,4.379207667E0,3.099173854E2,5.064086777E0,5.064086777E0
2.580730089E2,5.311160814E1,8.881304132E0,1.232087467E0,4.347671466E0,3.099324802E2,5.097549020E0,5.097549020E0
2.590729967E2,5.311164111E1,8.881231909E0,1.281101529E0,4.630364104E0,3.092956832E2,5.122037473E0,5.122037473E0
2.600729798E2,5.311168134E1,8.881172826E0,1.349111970E0,4.719430216E0,3.137166822E2,5.144406944E0,5.144406944E0
2.610729656E2,5.311172850E1,8.881114913E0,1.898220088E0,4.695881763E0,3.163384596E2,5.114033734E0,5.114033734E0
2.620729501E2,5.311176146E1,8.881047979E0,2.077931854E0,4.555051948E0,3.125565781E2,5.077829611E0,5.077829611E0
2.630729358E2,5.311180925E1,8.880990843E0,2.181227078E0,4.683328552E0,3.182860586E2,5.063808635E0,5.063808635E0
2.640729213E2,5.311184852E1,8.880936917E0,-2.139478615E-1,4.406919697E0,3.181869087E2,5.044257502E0,5.044257502E0
2.650729049E2,5.311189641E1,8.880881608E0,1.732319248E0,4.530927603E0,3.220233989E2,5.044632416E0,5.044632416E0
2.660728911E2,5.311195682E1,8.880812899E0,3.992072714E0,5.423566353E0,3.229201776E2,5.028292072E0,5.028292072E0
2.670728765E2,5.311199718E1,8.880760286E0,4.458461027E0,5.127192925E0,3.219065273E2,5.009558057E0,5.009558057E0
2.680728623E2,5.311203951E1,8.880712488E0,4.058197692E0,5.008760333E0,3.241693608E2,5.009274779E0,5.009274779E0
2.690728486E2,5.311207791E1,8.880667805E0,3.965070164E0,4.664605852E0,3.237250133E2,4.997294747E0,4.997294747E0
2.700728329E2,5.311211066E1,8.880617931E0,2.706073510E0,4.328190730E0,3.201780448E2,4.966249705E0,4.966249705E0
2.710728228E2,5.311215138E1,8.880570176E0,3.677805169E0,4.432307089E0,3.218918802E2,4.957448195E0,4.957448195E0
2.720728037E2,5.311219539E1,8.880516728E0,3.868148635E0,4.988637560E0,3.242463475E2,4.963138970E0,4.963138970E0
